N,S_approx,Relative_Error
100,0.95,0.00580491
600,0.958333,0.0146278
1100,0.944318,0.000210674
1600,0.953125,0.00911347
2100,0.925,0.0206636
2600,0.964904,0.0215842
3100,0.939919,0.0048679
3600,0.942014,0.00265033
4100,0.957317,0.0135518
4600,0.94837,0.0040787
5100,0.939706,0.00509391
5600,0.936384,0.008611
6100,0.946926,0.00255058
6600,0.953409,0.00941425
7100,0.936972,0.00798856
7600,0.944901,0.000406715
8100,0.950772,0.00662184
8600,0.943605,0.000966119
9100,0.935302,0.00975627
9600,0.952083,0.00801062
10100,0.942574,0.00205704
10600,0.944811,0.000311433
11100,0.945383,0.00091657
11600,0.951832,0.00774441
12100,0.941529,0.00316378
12600,0.943353,0.00123237
13100,0.94666,0.00226903
13600,0.948897,0.00463718
14100,0.942199,0.00245478
14600,0.938099,0.00679485
15100,0.946937,0.00256207
15600,0.948718,0.00444754
16100,0.942935,0.00167534
16600,0.945783,0.00134033
17100,0.941447,0.00325012
17600,0.94652,0.00212036
18100,0.947583,0.00324579
18600,0.943548,0.00102569
19100,0.942605,0.0020248
19600,0.938712,0.00614645
20100,0.943843,0.000713469
20600,0.942051,0.00261107
21100,0.946564,0.00216705
21600,0.947107,0.00274142
22100,0.947851,0.00352933
22600,0.951549,0.00744455
23100,0.938961,0.00588251
23600,0.948411,0.00412258
24100,0.941183,0.00353048
24600,0.946138,0.00171627
25100,0.943327,0.0012604
25600,0.943604,0.000967321
26100,0.941092,0.00362642
26600,0.937782,0.00713085
27100,0.943589,0.000983154
27600,0.947962,0.00364714
28100,0.943505,0.00107127
28600,0.948383,0.00409278
29100,0.946392,0.0019847
29600,0.944088,0.000454549
30100,0.943439,0.00114199
30600,0.94808,0.00377219
31100,0.945539,0.00108142
31600,0.946519,0.00211941
32100,0.941745,0.00293549
32600,0.948658,0.00438405
33100,0.941994,0.00267143
33600,0.947582,0.0032447
34100,0.946628,0.00223437
34600,0.941438,0.00326019
35100,0.944409,0.000114699
35600,0.944663,0.000154316
36100,0.939785,0.00500981
36600,0.941598,0.00309026
37100,0.946395,0.00198801
37600,0.942786,0.00183296
38100,0.943209,0.00138537
38600,0.942325,0.0023208
39100,0.946387,0.00198017
39600,0.943182,0.00141379
40100,0.945106,0.000623407
40600,0.940086,0.00469124
41100,0.946198,0.00177988
41600,0.944712,0.000205789
42100,0.948515,0.00423314
42600,0.943515,0.00106076
43100,0.950551,0.00638832
43600,0.943607,0.000964001
44100,0.944303,0.000227043
44600,0.940891,0.0038389
45100,0.944706,0.000200146
45600,0.947122,0.00275754
46100,0.947316,0.00296284
46600,0.94764,0.00330573
47100,0.944214,0.000320512
47600,0.940336,0.00442663
48100,0.945504,0.00104497
48600,0.947222,0.00286396
49100,0.94193,0.00273942
49600,0.94879,0.00452417
50100,0.942839,0.00177641
50600,0.944639,0.000129337
51100,0.941096,0.00362225
51600,0.943629,0.000940471
52100,0.941531,0.00316189
52600,0.943798,0.000761911
53100,0.943738,0.000824693
53600,0.94396,0.000590015
54100,0.94933,0.00509549
54600,0.946291,0.00187825
55100,0.942196,0.00245751
55600,0.945706,0.0012586
56100,0.944296,0.000234264
56600,0.94439,0.000134151
57100,0.945666,0.00121579
57600,0.942318,0.00232866
58100,0.941803,0.00287368
58600,0.943195,0.00139942
59100,0.945622,0.00116955
59600,0.941233,0.00347685
60100,0.945923,0.0014889
60600,0.945978,0.00154635
61100,0.939771,0.00502511
61600,0.944217,0.000318095
62100,0.946095,0.00167053
62600,0.944189,0.000347129
63100,0.942769,0.00185042
63600,0.941804,0.00287228
64100,0.943682,0.000884494
64600,0.942221,0.00243066
65100,0.942934,0.00167622
65600,0.942416,0.00222443
66100,0.946237,0.00182061
66600,0.944088,0.000454549
67100,0.943927,0.000624861
67600,0.948188,0.00388633
68100,0.945503,0.00104368
68600,0.944315,0.000214181
69100,0.9411,0.00361805
69600,0.941415,0.00328415
70100,0.943367,0.00121813
70600,0.943307,0.00128087
71100,0.943987,0.000560948
71600,0.941463,0.00323359
72100,0.943499,0.00107839
72600,0.941684,0.00299972
73100,0.944323,0.000205736
73600,0.945499,0.00103985
74100,0.942932,0.00167844
74600,0.945543,0.00108598
75100,0.943509,0.00106775
75600,0.945205,0.000728266
76100,0.944481,3.83484e-05
76600,0.948156,0.00385259
77100,0.946287,0.0018741
77600,0.947487,0.00314441
78100,0.943374,0.00121045
78600,0.9434,0.00118266
79100,0.945164,0.000685199
79600,0.94799,0.00367678
80100,0.947331,0.00297961
80600,0.941222,0.00348864
81100,0.946409,0.0020027
81600,0.94565,0.00119886
82100,0.943468,0.00111045
82600,0.940345,0.00441721
83100,0.945502,0.00104311
83600,0.945081,0.00059668
84100,0.941439,0.00325924
84600,0.945287,0.000814677
85100,0.946548,0.00215032
85600,0.945634,0.00118219
86100,0.943641,0.000927513
86600,0.944414,0.000109256
87100,0.943485,0.00109333
87600,0.942908,0.00170358
88100,0.945956,0.00152367
88600,0.947122,0.00275774
89100,0.943575,0.000997898
89600,0.944127,0.000413431
90100,0.942703,0.00192121
90600,0.944205,0.000330189
91100,0.945088,0.00060417
91600,0.941089,0.00362957
92100,0.946621,0.00222691
92600,0.941982,0.00268447
93100,0.943542,0.00103257
93600,0.944832,0.000333042
94100,0.941472,0.00322422
94600,0.945772,0.0013282
95100,0.945833,0.00139348
95600,0.945502,0.00104278
96100,0.946436,0.00203155
96600,0.945018,0.000530376
97100,0.942147,0.00250911
97600,0.948092,0.00378451
98100,0.946305,0.00189263
98600,0.946159,0.00173798
99100,0.945232,0.000756918
99600,0.944139,0.000400322
